区画,店名,よみ,業種,タグ,予算,営業時間,定休日,電話,URL
501,産直鮨 一石三鳥,さんちょくずしいっせきさんちょう,寿司,,,17:00-22:00,月,06-6485-8234,
502,博多串焼き バッテンよかとぉ,はかたくしやきばってんよかとぉ,焼鳥,ランチあり,,10:00-23:00,,06-6451-1194,http://www.genki-factory.com/shoplist/hakata/
503,イタリアンバール ラ・ピニャータ,いたりあんばーるら・ぴにゃーた,洋食,予約可|ランチあり,,"11:00-15:30,17:00-22:30",,06-6459-7870,https://tabelog.com/osaka/A2701/A270101/27143278/
504,天ぷらと。すしいち second,てんぷらとすしいちせかんど,寿司,予約可|ランチあり,,"11:30-15:00,17:00-23:00",,06-4300-5888,
505,鉄板神社,てっぱんじんじゃ,その他,予約可|ランチあり,,11:00-23:00,,06-6147-8330,https://teppan-jinjya.com/
506,アゲダチ,あげだち,その他,予約可,,12:00-23:00,,06-6131-9561,
509,黒毛和牛 吟味屋,くろげわぎゅうぎんみや,焼肉・ホルモン,予約可|個室あり,,16:30-22:45,火,06-6344-4129,https://ginmiya.jp/
510,囲炉裏屋 炭えん,いろりやすみえん,居酒屋,予約可|個室あり,,17:00-23:00,,06-6616-8945,
511,九州酒場ゑびす,きゅうしゅうさかばえびす,居酒屋,予約可,,"12:00-15:00,17:00-22:30",月,06-6456-7090,
512,おでんと、アジフライ。,おでんとあじふらい,居酒屋,予約可,,17:00-23:00,,06-6940-7555,
513,立呑み 串かつ まつい,たちのみくしかつまつい,立ち飲み,立ち飲み,,16:00-23:00,火,06-6676-8854,https://shubou-matsui.com/
514,立呑めがね堂,たちのみめがねどう,立ち飲み,立ち飲み,,16:00-23:00,火,,
515,かこも 晴,かこもはる,立ち飲み,立ち飲み|予約可,,12:00-23:00,,06-6616-8897,https://www.instagram.com/kakomoharu_03/
516,串かつ ぶらり横丁七福神,くしかつしちふくじん,串カツ,予約可|ランチあり,,11:00-23:00,,06-6147-3806,
517,わすれな草別邸 酒処すずめ,わすれなぐさべっていさけどころすずめ,居酒屋,ランチあり,,11:00-23:00,,06-6136-8299,https://tabelog.com/osaka/A2701/A270101/27143691/
518,漁師酒場あらき,りょうしさかばあらき,海鮮,予約可|ランチあり,,11:00-23:00,,06-6136-8815,https://tabelog.com/osaka/A2701/A270101/27143742/?msockid=228cb59c38cb65b007eea36439a564ac
519,ヒロカワテーラー,ひろかわてーらー,立ち飲み,立ち飲み,,15:00-23:00,,,
520,いしもん03,さかなやいしもん,和食,,,16:00-23:00,,06-4256-5115,
521,乃ノ家,ののや,焼肉・ホルモン,予約可,,13:00-23:00,,06-6136-3599,
522,乙,おつ,焼鳥,,,12:30-23:00,月,06-6136-7873,
,よこのいと,よこのいと,バー,,,17:30-23:00,,,
