区画,店名,業種
01,屯食 喜酔,居酒屋
02,大衆料理・居酒屋 御影郷 ふくじゅ,居酒屋
03,九州もん,居酒屋
04,鶏酒場 大阪梅田アイボリー,焼鳥
05,立ち呑み処 まる,立ち飲み
06,インド料理 ニルヴァーナ,カレー
12,大衆酒場 さんま,居酒屋
19,TEA ROOM 木馬,喫茶
21,さかなのくち スタンド酒場,海鮮
22,炉ばた焼串料理 本安兵衛,焼鳥
25,CRAFT BEER BASE BUD,バー
26,ぶたのくち スタンド酒場,居酒屋
27,丸嘉酒店,立ち飲み
28,大衆酒場 スタンド ミルクホール,居酒屋
28,ひもの野郎,海鮮
28,華神（カシン）,中華
29,呑み処 シスターブラウン,居酒屋
30,spice32,カレー
32,呑み処 大阪梅田 ブラウン,居酒屋
33,立ち飲み処 和,立ち飲み
34,幸せ立ち飲み 夢じゃら,立ち飲み
35,うどん店 たかはた,そば・うどん
36,酒処 あかね,居酒屋
38,TAKOYAKI & BAR POULPE,お好み焼き・粉もん
39,お酒の美術館,バー
40,夢ごりら,居酒屋
41,カレーショップ ミクロ,カレー
42,つかさや,居酒屋
44,そば・うどん・めん処 つるつる庵,そば・うどん
45,彦寿司,寿司
46,スタンド割烹 若桜,和食
47,寿司 まぐろ一徹,寿司
48,中華料理 金明飯店 3号店,中華
49,らーめんやまちゃん イッちゃん,ラーメン
50,ちょっとした料理とおばんざい ふらん,和食
51,SALON de SUEHIRO,バー
52,銀座屋,居酒屋
53,大衆酒場 酒房 吉豊,居酒屋
53,お好み焼き・どろ焼き酒場 鳴風,お好み焼き・粉もん
54,喫茶・軽食 フルール,喫茶
61,徳田酒店,立ち飲み
62,酒菜や いしもん 西対（にしのつい）,居酒屋
63,手打ちうどんの店 たかはた,そば・うどん
66,屋台餃子,中華
68,立呑パーラー 西澤商店,立ち飲み
69,大衆酒場 マルリキ,居酒屋
70,CRAFTROOM,バー
71,鮪人 まぐろんちゅ,海鮮
72,酒菜や いしもん 対屋,居酒屋
73,立ち飲み 庶民,立ち飲み
74,お好み焼 とみや,お好み焼き・粉もん
75,新世界串かつ いっとく 大阪駅前第1ビル店,串カツ
77,愉快酒場,居酒屋
78,愉快酒場,居酒屋
79,酒菜や いしもん,居酒屋
80,la sow,バー
82,串揚げ たぬき,串カツ
83,インド料理 ミラ,カレー
84,立ち飲みワイン 立ちぶどう千本,立ち飲み
